Status,Exposure.Location,Street,Suburb,Date,Arrival.Time,Departure.Time,Contact,type
,Services Australia (Level 4),57 Athllon Drive,Greenway,24/08/2021 - Tuesday,8:00am,2:00pm,Casual,Casual 
,Chemist Warehouse Gungahlin,30 Hibberson Street,Gungahlin,24/08/2021 - Tuesday,2:10pm,3:00pm,Monitor,Monitor 
,Woolworths Gungahlin,30/33 Hibberson Street,Gungahlin,24/08/2021 - Tuesday,2:20pm,3:20pm,Casual,Casual 
,Coles Gungahlin,Gungahlin Place,Gungahlin,24/08/2021 - Tuesday,2:40pm,3:30pm,Monitor,Monitor 
,KFC Dickson,81 Woolley Street,Dickson,24/08/2021 - Tuesday,9:40am,4:30pm,Casual,Casual 
,Mirchi Indian Cuisine,4 Riley Close,Ngunnawal,24/08/2021 - Tuesday,4:00pm,10:30pm,Close,Close 
,Master Kebabs,50 Denigan Street,Wanniassa,24/08/2021 - Tuesday,5:40pm,6:50pm,Casual,Casual 
,IGA Holt,Holt Place,Holt,24/08/2021 - Tuesday,1:40pm,3:30pm,Casual,Casual 
,The Chifley Grocer,20-22 Chifley Place,Chifley,25/08/2021 - Wednesday,11:40am,12:30pm,Monitor,Monitor 
,Coles Chisholm,"Chisholm Village Shopping Centre, 42 Halley Street",Chisholm,25/08/2021 - Wednesday,5:20am,5:30pm,Casual,Casual 
,Total Tools Fyshwick,103 Gladstone Street,Fyshwick,25/08/2021 - Wednesday,10:15am,11:10am,Monitor,Monitor 
,Coles Jamison,"Jamison Plaza, Bowman Street",Macquarie,25/08/2021 - Wednesday,10:55am,11:35am,Monitor,Monitor 
,Jamison Plaza News,"Jamison Plaza, Bowman Street",Macquarie,25/08/2021 - Wednesday,11:00am,11:40am,Monitor,Monitor 
,Australia Post Gungahlin,46 Hibberson Street,Gungahlin,25/08/2021 - Wednesday,3:00pm,3:45pm,Monitor,Monitor 
,Cellarbrations Gungahlin,24-30 Ernest Cavanagh Street,Gungahlin,25/08/2021 - Wednesday,8:30pm,9:20pm,Monitor,Monitor 
,On-Lake Cafe,"Bowen Park, Bowen Drive",Barton,26/08/2021 - Thursday,12:55pm,1:45pm,Casual,Casual 
,BWS Mawson,Mawson Place,Mawson,26/08/2021 - Thursday,6:35pm,7:30pm,Monitor,Monitor 
,Goodberry's Erindale,2/20 Gartside Street,Wanniassa,26/08/2021 - Thursday,2:20pm,3:00pm,Monitor,Monitor 
,The Bottle O-Mitchell,Brookes Street,Mitchell,26/08/2021 - Thursday,2:50pm,3:30pm,Monitor,Monitor 
,GP Respiratory Clinic,5 Baratta Street,Crace,26/08/2021 - Thursday,1:50pm,2:50pm,Casual,Casual 
,Westpac Canberra Centre,148 Bunda Street,Canberra City,26/08/2021 - Thursday,10:30am,11:20am,Monitor,Monitor 
,The Pharmacy on Petrie,148 Bunda Street,Canberra City,26/08/2021 - Thursday,10:50am,11:30am,Monitor,Monitor 
,IGA X-press Palmerston,2/16A Kosciuszko Avenue,Palmerston,26/08/2021 - Thursday,4:10pm,5:00pm,Monitor,Monitor 
,Cellarbrations Gungahlin,24-30 Ernest Cavanagh Street,Gungahlin,26/08/2021 - Thursday,8:00pm,8:45pm,Monitor,Monitor 
,Officeworks Braddon,30 Mort Street,Braddon,26/08/2021 - Thursday,2:50pm,4:00pm,Casual,Casual 
,Metro Petroleum Mitchell,Lysaght Street,Mitchell,27/08/2021 - Friday,10:00am,10:50am,Monitor,Monitor 
,Canturf,14 Cessnock Street,Fyshwick,27/08/2021 - Friday,10:50am,11:40am,Monitor,Monitor 
,Bright Bees Childcare,40 O'Hanlon Place,Nicholls,16/08/2021 - Monday,7:00am,3:00pm,Close,Close 
,Argyle Housing - Ainslie Village,23 Quick Street,Campbell,25/08/2021 - Wednesday,12:00am,11:59pm,Close,Close 
,Argyle Housing - Ainslie Village,23 Quick Street,Campbell,26/08/2021 - Thursday,12:00am,11:59pm,Close,Close 
,Argyle Housing - Ainslie Village,23 Quick Street,Campbell,27/08/2021 - Friday,12:00am,11:59pm,Close,Close 
,Argyle Housing - Ainslie Village,23 Quick Street,Campbell,28/08/2021 - Saturday,12:00am,11:59pm,Close,Close 
,Argyle Housing - Ainslie Village,23 Quick Street,Campbell,29/08/2021 - Sunday,12:00am,11:59pm,Close,Close 
,Argyle Housing - Ainslie Village (Winter Lodge),23 Quick Street,Campbell,25/08/2021 - Wednesday,12:00am,11:59pm,Close,Close 
,Argyle Housing - Ainslie Village (Winter Lodge),23 Quick Street,Campbell,26/08/2021 - Thursday,12:00am,12:00pm,Close,Close 
,Priceline Pharmacy Woden,"Shop G98, Westfield Woden",Phillip,26/08/2021 - Thursday,9:15am,6:00pm,Close,Close 
,Officeworks Belconnen,5 Cohen Street,Belconnen,27/08/2021 - Friday,10:25am,11:45am,Casual,Casual 
,SupaBarn Express Watson,5 Watson Place,Watson,26/08/2021 - Thursday,9:30am,10:30am,Casual,Casual 
,EG Fuel Canberra Gateway,41 Federal Highway,Lyneham,27/08/2021 - Friday,9:45am,10:30am,Monitor,Monitor 
